comp_df,comp_nova,pres_df,pres_nova,acc_df,acc_nova,uncer,concor,fusion,DQIndex
0.93333,0.93333,0.71382,0.57482,0.00000,0.00000,0.81359,0.65374,49.03540,0.46623
0.98333,0.98333,0.84765,0.59126,0.00000,0.00000,0.78427,0.34656,49.11673,0.41904
0.98333,0.98333,0.85744,0.75954,0.00000,0.00000,0.90055,0.55616,38.94905,0.48549
0.96667,0.96667,0.79855,0.79017,0.00000,0.00000,0.97473,0.96670,35.76235,0.56780
0.90000,0.90000,0.65592,0.65838,0.00000,0.00000,0.97537,0.98490,31.48430,0.54953
0.98333,0.98333,0.84234,0.84953,0.00000,0.00000,0.97375,0.95609,35.18072,0.57253
1.00000,1.00000,0.92240,0.69293,0.00000,0.00000,0.88813,0.50257,41.74205,0.47664
1.00000,1.00000,0.92547,0.46649,0.00000,0.00000,0.79809,0.14976,46.67732,0.38963
0.96667,0.96667,0.80324,0.60037,0.00000,0.00000,0.88740,0.57928,45.32215,0.47762
0.85000,0.85000,0.56598,0.56186,0.10396,0.63006,0.88193,0.97494,31.14276,0.66239
0.91667,0.91667,0.67435,0.65500,0.08847,0.43193,0.91961,0.93018,29.13573,0.63743
0.95000,0.95000,0.55300,0.37896,0.46292,0.00000,0.71094,0.05407,26.13591,0.41382
0.90000,0.90000,0.64209,0.02184,0.92352,0.00000,0.50498,0.32524,20.11705,0.56903
0.98333,0.98333,0.85601,-0.21423,0.81781,0.00000,0.31931,0.07969,23.24282,0.45409
0.98333,0.98333,0.83890,-0.75790,0.70730,0.61686,0.16490,0.15475,19.31597,0.58296
0.98333,0.98333,0.81346,0.84692,0.55635,0.61645,0.95238,0.86272,12.32510,0.78557
0.98333,0.98333,0.81911,0.84323,0.56531,0.61383,0.96099,0.90108,13.09323,0.79520
0.95000,0.95000,0.74445,-0.27104,0.00000,0.00000,0.50771,0.13379,14.71091,0.28838
1.00000,1.00000,0.88995,0.93441,0.00000,0.00000,0.96843,0.74687,18.52778,0.54239
1.00000,1.00000,0.93793,0.94996,0.00000,0.07018,0.96126,0.72258,22.06257,0.53892
1.00000,1.00000,0.94270,0.94743,0.44717,0.64505,0.94990,0.76148,24.46550,0.76300
0.93333,0.93333,0.70841,0.72257,0.21024,0.46523,0.93861,0.96535,27.89246,0.68453
